01:42:52:632192|0295-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.boot.guice.BootModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:632667|0307-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.conversion.guice.ConversionModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:633226|0303-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.metadata.guice.MetadataModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:634313|0313-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.configuration.guice.ConfigurationModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:634800|0333-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.commons.meters.guice.ResourceProbeGlobalConfigurationModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:635147|0291-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.executors.guice.b} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:635940|0315-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.executors.guice.GlobalStatsExecutorModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:636561|0308-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.executors.guice.ISFExecutorsModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:638222|0298-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.lock.guice.ISFLockModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:638643|0322-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.dependency_manager.guice.DependencyManagerModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:638956|0308-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.jmix.guice.PlatformConfigurationModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:640169|0329-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.service_manager.guice.ServiceManagerTagSubscriberModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:641551|0297-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.service_manager.guice.a} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:642186|0289-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.cat.insight.guice.a} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
